SPCODE,FNCODE
ACRDAN,
AESPRA,
AGALIN,
AGAPUR,
ALEBRA,
AMAAUS,
AMAVIR,
AMPCAR,
ANDGLO,
ANDSPP,
ANDVIR,
ANEADI,
ANNGLA,
ARIPUR,
ASCLAN,
ASTDUM,
ASTSPP,
ASTTEN,
BACCAR,
BACHAL,
BACMON,
BIDLAE,
BIDMIT,
BLESER,
BOECYL,
BUCAME,
CASFIL,
CENASI,
CEPOCC,
Chara,
CHARA,
CHIALB,
CHRICA,
CIRHOR,
CLAJAM,
COERUG,
COLRIG,
CONERE,
CRIAME,
CYPESC,
CYPHAS,
CYPODO,
CYPSPP,
DICDIC,
DICSPP,
DIOVIR,
DYSANG,
ELEBAL,
ELECEL,
ELEELO,
ELEGEN,
ELEINT,
ELESPP,
ERAELL,
EREHIE,
ERICOM,
ERISPP,
EUPCAP,
EUPLEP,
EUPMIK,
FICAUR,
FUIBRE,
FUISCI,
FUNCLA,
HABREP,
HELPIN,
HELPOL,
HIBGRA,
HYDCOR,
HYDUMB,
HYMLAT,
HYMPAL,
HYMTRI,
HYPALA,
HYPBRA,
HYPMYR,
HYPSPP,
ILECAS,
IPOSAG,
IPOSPP,
IVAMIC,
JACCUR,
JUSANG,
KOSPEN,
LEEHEX,
LINMED,
LOBGLA,
LUDALA,
LUDCUR,
LUDMIC,
LUDOCT,
LUDPER,
LUDPIL,
LUDREP,
LUDSPP,
LYGMIC,
MAGVIR,
MELQUI,
METTOX,
MIKSCA,
MITPET,
MORCER,
MUHCAP,
MYRHET,
NEPBIS,
NUPADV,
NYMAQU,
NYMODO,
NYMSPP,
OSMREG,
OXYFIL,
PANDIC,
PANHEM,
PANRIG,
PANSPP,
PANTEN,
PANVIR,
PASGEM,
PASMON,
PASPAL,
PELVIR,
PERBOR,
PERHIR,
PERHYD,
PERPAL,
PERSET,
PERSPP,
PHLAUR,
PHRAUS,
PHYNOD,
PHYSTO,
PISSTR,
PLEPAR,
PLUBAC,
PLUSPP,
POLSPP,
PONCOR,
POTILL,
PROPAL,
PSINUD,
PTEAQU,
RANACU,
RHYCOL,
RHYDIV,
RHYINT,
RHYINU,
RHYMIC,
RHYNIT,
RHYSPP,
RHYTRA,
SABGRA,
SABPAL,
SACGIG,
SAGLAn,
SAGLAN,
SAGLAT,
SALCAR,
SALMIN,
SALMOL,
SALSPP,
SAMEBR,
SARCLA,
SCHNIG,
SCHRHI,
SCHTER,
SCISPP,
SCLVER,
SETMAG,
SETPAR,
SMIBON,
SMILAU,
SMISPP,
SPABAK,
SPIODO,
SYMDUM,
SYMTEN,
TAXDIS,
TEUCAN,
THAGEN,
THEINT,
THEKUN,
THEPAL,
TYPDOM,
UTRCOR,
UTRFOL,
UTRGIB,
UTRPUR,
UTRSPP,
VERBLO,
VICACU,
VITROT,
WOOVIR,
XYRCAR,
XYRJUP,
XYRSPP,
