"","PSU_ID","PSU","Historical R&S","Region","X_UTMNAD83","Y_UTMNAD83","Cy1_Year","Cy1_WYr","Cy1_Sampdates","Cy1_NumPlots","Cy2_Year","Cy2_WYr","Cy2_Sampdates","Cy2_NumPlots","Cy3_Year","Cy3_WYr","Cy3_Sampdates","Cy3_NumPlots"
"48","P054","54","Y","ENP_W",517243.7,2825691.9,5,"2015","10/29, 10/31/2014",111,4,"2019","01/09, 01/14/2019",111,4,"2024","8/30, 9/1/2023",135
"49","P055","55","Y","WCA3AC",521064.6,2876059.2,4,"2014","1/13, 1/17/2014",132,4,"2019","10/03, 10/05/2019",129,4,"2024","9/25, 9/29/2023",135
"50","P056","56","Y","ENP_N",538819.5,2843183.1,4,"2014","12/6, 12/10, 12/20/2013",135,4,"2019","11/21/2018; 01/11/2019",135,4,"2024","10/20, 10/27, 11/7, 11/8/2023",135
"51","P058","58","Y","WCA3AS",522023.7,2851319.8,4,"2014","1/6, 1/10, 1/15/2014",117,4,"2019","02/15, 02/18/2019",117,4,"2024","11/27, 12/11/2023",135
"52","P059","59","Y","WCA3AN",547146.9,2908234.8,NA,NA,NA,NA,4,"2019","09/10, 09/12/2018",135,4,"2024","10/9, 10/11/2023",135
"53","P061","61","Y","WCA2A",556317,2914142.6,4,"2014","2/14, 2/17/2014",129,4,"2019","09/05, 09/07/2018",129,4,"2024","10/18, 11/22/2023",135
"54","P062","62","Y","ENP_S",522506.2,2825415.4,4,"2014","12/12, 12/13/2013",135,4,"2019","01/16, 01/23/2019",135,4,"2024","11/7, 11/8/2023",135
"55","P063","63","Y","WCA3AS",543511.7,2878334.2,4,"2014","1/24, 1/27/2014",135,4,"2019","10/26, 11/02/2018",135,4,"2024","1/3, 1/5/2024",135
"56","P065","65","Y","WCA1",565318.4,2930799.6,5,"2014","9/8, 10/1, 11/3/2014",122,5,"2020","08/23, 08/26, 11/25/2019",122,5,"2025","10/14/2024, 10/25/2024, 10/28/2024, 10/30/2024",108
"57","P066","66","Y","WCA3AC",523983.1,2866499.2,5,"2015","7/10, 9/18, 9/21, 9/23/2015",132,5,"2020","08/28, 09/13/2019",132,5,"2025","9/6/2024, 9/9/2024",135
"58","P067","67","Y","WCA3AN",525201.9,2906093.8,5,"2014","8/25, 9/2/2014",132,5,"2020, 2021","09/30/2019; 09/04, 09/05/2020",132,5,"2025","11/4/2024, 11/6/2024, 11/8/2024, 11/13/2024, 11/15/2024",135
"59","P068","68","Y","WCA3AS",535046.2,2862596.3,5,"2014","8/8, 8/15, 8/29/2014",136,5,"2020","09/16, 09/18/2019",136,5,"2025","8/26/2024, 8/28/2024, 9/4/2024",136
"60","P069","69","Y","WCA2A",567098.5,2910181.7,5,"2014","8/27, 9/5/2014",123,5,"2020","11/06, 11/08/2019",123,5,"2025","9/23/2024, 9/27/2024",135
"61","P071","71","Y","WCA3AC",525747.1,2886258.6,5,"2014","8/13, 8/22/2104",126,5,"2020","09/20, 09/23/2019",126,5,"2025","9/18/2024, 9/20/2024",135
"62","P073","73","Y","WCA2A",554872.2,2923975.3,5,"2014","9/15, 9/17/2014",135,5,"2020, 2021","11/27/2019; 09/11, 09/19/2020",135,5,"2025","9/30/2024, 10/2/2024",132
"63","P079","79","Y","WCA3AC",542515.4,2892858.7,5,"2014","8/18, 8/20/2014",126,5,"2020","09/25, 09/27/2019",126,5,"2025","9/11/2024, 9/13/2024, 9/25/2024",134
"64","P108","108","Y","WCA3B",544130.1,2853456,1,"2011","12/13, 12/14, 12/16, 12/17/2010",219,1,"2016","10/02, 10/07/2015",117,1,"2021, 2022","12/30/2020, 1/6/2021, 1/26/2022",132
"65","P220","220","Y","WCA3B",548070.8,2868866.4,4,"2014","10/8, 10/11/2013",126,4,"2019","11/30/2018; 01/18/2019",126,NA,NA,NA,NA
"66","P513","513","Y","ENP_N",547619.4,2846243.2,3,"2013","1/15, 1/18/2013",108,3,"2018","02/02, 02/05/2018",108,3,"2023","10/24, 10/25,2022",135
"67","PBS1","BS1","Y","ENP_N",535434.7,2848146.9,4,"2013","9/24, 10/18/2013",120,5,"2020","12/05, 12/11/2019",120,5,"2025","11/27/2024, 12/6/2024",135
"68","PBS2","BS2","Y","ENP_N",535135,2846113,4,"2013","10/22, 10/29/2013",129,5,"2020","11/15, 12/11, 12/14/2019",129,5,"2025","12/16/2024, 12/18/2024",135
"69","PBS3","BS3","Y","ENP_N",535354,2844092,4,"2013","11/1, 12/3, 12/5, 12/20,2013",135,5,"2020","12/16, 12/27/2019",135,5,"2025","12/20/2024, 1/6/2025",133
"70","PDPM","DPM","Y","WCA3B",538203,2858189.1,3,"2013","41275",215,3,"2018, 2019","03/16, 03/19, 08/22, 08/24/2018",215,5,"2025","1/8/2025, 1/10/2025, 1/17/2025",196
