"","PlotID_New","East_mm","East_sd","North_mm","North_sd"
"4632","P02803_N",546538,NA,2861631.7,NA
"4633","P02804_C",546494.3,0,2861794.5,0
"4634","P02804_E",546508.1,0,2861796.9,0
"4635","P02804_N",546492.2,0,2861806.3,0
"4636","P02805_C",546550.9,NA,2861467.4,NA
"4637","P02805_E",546573.6,NA,2861471.4,NA
"4638","P02805_N",546546.6,NA,2861492,NA
"4639","P02806_C",547014.6,0,2861506.3,0
"4640","P02806_E",547023.5,0,2861507.8,0
"4641","P02806_N",547009.4,0,2861535.8,0
"4642","P02807_C",547143.8,0,2861546.3,0
"4643","P02807_E",547176.3,0,2861552.1,0
"4644","P02807_N",547143.2,0,2861550.3,0
"4645","P02808_C",547029.1,0,2861441.1,0
"4646","P02808_E",547039,0,2861442.8,0
"4647","P02808_N",547023.9,0,2861470.6,0
"4648","P02809_C",546866.8,0,2861618.4,0
"4649","P02809_E",546900.3,0,2861624.3,0
"4650","P02809_N",546865.1,0,2861628.3,0
"4651","P02810_C",546974.9,NA,2861401.4,NA
"4652","P02810_E",546979.9,NA,2861402.3,NA
"4653","P02810_N",546972.9,NA,2861413.3,NA
"4654","P02811_C",547698.9,0,2861616.9,0
"4655","P02811_E",547719.6,0,2861620.6,0
"4656","P02811_N",547695.7,0,2861634.6,0
"4657","P02812_C",547693.3,0,2861767.7,0
"4658","P02812_E",547704.2,0,2861769.7,0
"4659","P02812_N",547689.5,0,2861789.4,0
"4660","P02813_C",547788.7,0,2861573.1,0
"4661","P02813_E",547817.3,0,2861578.1,0
"4662","P02813_N",547785.8,0,2861589.8,0
"4663","P02814_C",547563.4,0,2861640.7,0
"4664","P02814_E",547594,0,2861646.1,0
"4665","P02814_N",547557.5,0,2861674.2,0
"4666","P02815_C",547676.7,0,2861590.1,0
"4667","P02815_E",547683.6,0,2861591.3,0
"4668","P02815_N",547671.8,0,2861617.6,0
"4669","P02816_C",548257,NA,2862021.5,NA
"4670","P02816_E",548286.5,NA,2862026.7,NA
"4671","P02816_N",548254.7,NA,2862034.3,NA
"4672","P02817_C",548361,0,2862040.5,0
"4673","P02817_E",548378.7,0,2862043.6,0
"4674","P02817_N",548355.5,0,2862072,0
"4675","P02818_C",548412.7,NA,2861941.6,NA
"4676","P02818_E",548428.5,NA,2861944.4,NA
"4677","P02818_N",548411.9,NA,2861946.6,NA
"4678","P02819_C",548188.3,NA,2862036.5,NA
"4679","P02819_E",548221.7,NA,2862042.4,NA
"4680","P02819_N",548185.5,NA,2862052.2,NA
"4681","P02820_C",548155.8,0,2861849.7,0
"4682","P02820_E",548188.3,0,2861855.4,0
"4683","P02820_N",548151.8,0,2861872.4,0
"4684","P02821_C",546401.5,0,2862299.8,0
"4685","P02821_E",546413.3,0,2862301.9,0
"4686","P02821_N",546397.5,0,2862322.5,0
"4687","P02822_C",546503,0,2862343.5,0
"4688","P02822_E",546508.9,0,2862344.6,0
"4689","P02822_N",546500.1,0,2862360.3,0
"4690","P02823_C",546529.3,NA,2862171.6,NA
"4691","P02823_E",546558.8,NA,2862176.8,NA
"4692","P02823_N",546525.3,NA,2862194.3,NA
"4693","P02824_C",546338.1,0,2862423.9,0
"4694","P02824_E",546343,0,2862424.8,0
"4695","P02824_N",546335.1,0,2862440.6,0
"4696","P02825_C",546279.7,0,2862131.8,0
"4697","P02825_E",546282.7,0,2862132.3,0
"4698","P02825_N",546278.4,0,2862139.7,0
"4699","P02826_C",546972.6,NA,2862789.3,NA
"4700","P02826_E",546989.3,NA,2862792.3,NA
"4701","P02826_N",546971.7,NA,2862794.2,NA
"4702","P02827_C",547058.6,0,2862968.7,0
"4703","P02827_E",547074.4,0,2862971.5,0
"4704","P02827_N",547057.1,0,2862977.6,0
"4705","P02828_C",547048.1,0,2862650.6,0
"4706","P02828_E",547079.6,0,2862656.2,0
"4707","P02828_N",547043,0,2862679.2,0
"4708","P02829_C",546943.8,0,2862863.5,0
"4709","P02829_E",546957.6,0,2862865.9,0
"4710","P02829_N",546937.7,0,2862898,0
"4711","P02830_C",546906.9,NA,2862702.3,NA
"4712","P02830_E",546941.4,NA,2862708.4,NA
"4713","P02830_N",546904.8,NA,2862714.2,NA
"4714","P02831_C",547241.2,0,2862887.7,0
"4715","P02831_E",547252,0,2862889.6,0
"4716","P02831_N",547240.5,0,2862891.6,0
"4717","P02832_C",547280.4,NA,2863014.9,NA
"4718","P02832_E",547293.2,NA,2863017.2,NA
"4719","P02832_N",547279,NA,2863022.8,NA
"4720","P02833_C",547346.7,0,2862724.8,0
"4721","P02833_E",547380.1,0,2862730.7,0
"4722","P02833_N",547344.8,0,2862735.6,0
"4723","P02834_C",547214.1,0,2862913.7,0
"4724","P02834_E",547222,0,2862915.1,0
"4725","P02834_N",547209.4,0,2862940.3,0
"4726","P02835_C",547147.7,0,2862730.2,0
"4727","P02835_E",547162.5,0,2862732.8,0
"4728","P02835_N",547145.4,0,2862743,0
"4729","P02836_C",547860.4,NA,2862723.5,NA
"4730","P02836_E",547868.3,NA,2862724.9,NA
"4731","P02836_N",547856.6,NA,2862745.2,NA
"4732","P02837_C",547901.7,NA,2862799.1,NA
"4733","P02837_E",547912.6,NA,2862801,NA
"4734","P02837_N",547898.6,NA,2862816.8,NA
"4735","P02838_C",547912.7,0,2862624.5,0
"4736","P02838_E",547937.3,0,2862628.8,0
"4737","P02838_N",547909.9,0,2862640.2,0
"4738","P02839_C",547741.6,0,2862729.7,0
"4739","P02839_E",547756.4,0,2862732.3,0
"4740","P02839_N",547736.2,0,2862760.2,0
"4741","P02840_C",547757.2,0,2862590.9,0
"4742","P02840_E",547766.1,0,2862592.4,0
"4743","P02840_N",547751.5,0,2862623.4,0
"4744","P02841_C",546191,NA,2863772.5,NA
"4745","P02841_E",546201.9,NA,2863774.4,NA
"4746","P02841_N",546187.7,NA,2863791.2,NA
"4747","P02842_C",546288.3,0,2863862.9,0
"4748","P02842_E",546312.9,0,2863867.3,0
"4749","P02842_N",546283.8,0,2863888.5,0
"4750","P02843_C",546294.9,0,2863775.8,0
"4751","P02843_E",546313.7,0,2863779.1,0
"4752","P02843_N",546293.7,0,2863782.7,0
"4753","P02844_C",546063.2,NA,2863782,NA
"4754","P02844_E",546071.1,NA,2863783.4,NA
"4755","P02844_N",546062.7,NA,2863785,NA
"4756","P02845_C",546075.4,NA,2863630.1,NA
"4757","P02845_E",546101,NA,2863634.6,NA
"4758","P02845_N",546072.6,NA,2863645.8,NA
"4759","P02846_C",546605.1,0,2863733.3,0
"4760","P02846_E",546638.6,0,2863739.2,0
"4761","P02846_N",546604.2,0,2863738.2,0
"4762","P02847_C",546627.6,NA,2863859.7,NA
"4763","P02847_E",546653.2,NA,2863864.2,NA
"4764","P02847_N",546622,NA,2863891.2,NA
"4765","P02848_C",546677.6,NA,2863631.9,NA
"4766","P02848_E",546696.3,NA,2863635.2,NA
"4767","P02848_N",546675.5,NA,2863643.7,NA
"4768","P02849_C",546582,NA,2863784.4,NA
"4769","P02849_E",546589.9,NA,2863785.8,NA
"4770","P02849_N",546576.1,NA,2863817.9,NA
"4771","P02850_C",546514.9,NA,2863680.7,NA
"4772","P02850_E",546523.8,NA,2863682.3,NA
"4773","P02850_N",546513.7,NA,2863687.6,NA
"4774","P02851_C",547318.1,NA,2863668.4,NA
"4775","P02851_E",547328,NA,2863670.2,NA
"4776","P02851_N",547314,NA,2863692.1,NA
"4777","P02852_C",547377,NA,2863775.8,NA
"4778","P02852_E",547403.6,NA,2863780.5,NA
"4779","P02852_N",547373.7,NA,2863794.5,NA
"4780","P02853_C",547469.9,0,2863538,0
"4781","P02853_E",547492.5,0,2863542,0
"4782","P02853_N",547464.6,0,2863567.5,0
"4783","P02854_C",547253.1,0,2863711,0
"4784","P02854_E",547262.9,0,2863712.8,0
"4785","P02854_N",547251,0,2863722.8,0
"4786","P02855_C",547241.3,0,2863580,0
"4787","P02855_E",547252.2,0,2863581.9,0
"4788","P02855_N",547238.2,0,2863597.7,0
"4789","P02856_C",547574.8,0,2863923.3,0
"4790","P02856_E",547601.3,0,2863928,0
"4791","P02856_N",547570.9,0,2863945,0
"4792","P02857_C",547584.1,NA,2863965.3,NA
"4793","P02857_E",547590.1,NA,2863966.4,NA
"4794","P02857_N",547581.4,NA,2863981.1,NA
"4795","P02858_C",547619,0,2863871.1,0.141421356369018
"4796","P02858_E",547640.35,0.494974746797656,2863874.5,0.707106781186548
"4797","P02858_N",547613.25,0.353553390593274,2863902.35,0.494974746962292
"4798","P02859_C",547512,0,2864072.4,0
"4799","P02859_E",547515.9,0,2864073.1,0
"4800","P02859_N",547509.9,0,2864084.3,0
"4801","P02860_C",547494.8,0,2863864.7,0
"4802","P02860_E",547505.7,0,2863866.7,0
